nominal;data;curs;cdx
1;18.01.2022;76,0404;ДолларСША
1;15.01.2022;75,7668;ДолларСША
1;14.01.2022;74,5686;ДолларСША
1;13.01.2022;74,5277;ДолларСША
1;12.01.2022;74,8355;ДолларСША
1;11.01.2022;75,1315;ДолларСША
1;31.12.2021;74,2926;ДолларСША
1;30.12.2021;73,6514;ДолларСША
1;29.12.2021;73,4959;ДолларСША
1;28.12.2021;73,2329;ДолларСША
1;25.12.2021;73,1886;ДолларСША
1;24.12.2021;73,3583;ДолларСША
1;23.12.2021;73,7901;ДолларСША
1;22.12.2021;73,8206;ДолларСША
1;21.12.2021;74,2947;ДолларСША
1;18.12.2021;73,733;ДолларСША
1;17.12.2021;73,5708;ДолларСША
1;16.12.2021;73,851;ДолларСША
1;15.12.2021;73,4698;ДолларСША
1;14.12.2021;73,4107;ДолларСША
1;11.12.2021;73,6059;ДолларСША
1;10.12.2021;73,5998;ДолларСША
1;09.12.2021;73,8453;ДолларСША
1;08.12.2021;74,1399;ДолларСША
1;07.12.2021;73,6694;ДолларСША
1;04.12.2021;73,7426;ДолларСША
1;03.12.2021;74,0637;ДолларСША
1;02.12.2021;73,9746;ДолларСША
1;01.12.2021;74,8926;ДолларСША
1;30.11.2021;74,9818;ДолларСША
1;27.11.2021;75,5873;ДолларСША
1;26.11.2021;74,6004;ДолларСША
1;25.11.2021;74,3726;ДолларСША
1;24.11.2021;74,8327;ДолларСША
1;23.11.2021;73,4506;ДолларСША
1;20.11.2021;72,7617;ДолларСША
1;19.11.2021;72,6022;ДолларСША
1;18.11.2021;72,8228;ДолларСША
1;17.11.2021;72,5553;ДолларСША
1;16.11.2021;72,2724;ДолларСША
1;13.11.2021;71,8118;ДолларСША
1;12.11.2021;71,1964;ДолларСША
1;11.11.2021;70,695;ДолларСША
1;10.11.2021;71,2866;ДолларСША
1;09.11.2021;71,3975;ДолларСША
1;04.11.2021;71,4876;ДолларСША
1;03.11.2021;71,4783;ДолларСША
1;02.11.2021;71,0863;ДолларСША
1;30.10.2021;70,52;ДолларСША
1;29.10.2021;70,5207;ДолларСША
1;28.10.2021;69,8104;ДолларСША
1;27.10.2021;69,5526;ДолларСША
1;26.10.2021;70,1345;ДолларСША
1;23.10.2021;70,8623;ДолларСША
1;22.10.2021;70,9904;ДолларСША
1;21.10.2021;71,0555;ДолларСША
1;20.10.2021;70,9674;ДолларСША
1;19.10.2021;71,1714;ДолларСША
1;16.10.2021;71,2371;ДолларСША
1;15.10.2021;71,7846;ДолларСША
1;14.10.2021;71,8577;ДолларСША
1;13.10.2021;71,8801;ДолларСША
1;12.10.2021;71,6373;ДолларСША
1;09.10.2021;71,9882;ДолларСША
1;08.10.2021;72,2854;ДолларСША
1;07.10.2021;72,5682;ДолларСША
1;06.10.2021;72,5686;ДолларСША
